Current Package List - 09.21.2023

[bbrittle@ArchSurface ~]$ pacman -Q
a52dec 0.8.0-2
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxml2 2.11.5-1
libxmlb 0.3.14-1
libxmu 1.1.4-1
libxpm 3.5.16-1
libxpresent 1.0.1-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.38-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libytnef 1:2.1.2-1
libyuv r2322+3aebf69d-1
libzip 1.10.1-1
libzmf 0.0.2-14
licenses 20230917-1
light 1.2.2-3
linux 6.5.3.arch1-1
linux-api-headers 6.4-1
linux-firmware 20230804.7be2766d-2
linux-firmware-marvell 20230804.7be2766d-2
linux-firmware-whence 20230804.7be2766d-2
linux-surface 6.4.12.arch1-1
linux-surface-headers 6.4.12.arch1-1
linux-surface-secureboot-mok 20230419-1
lirc 1:0.10.2-3
llvm-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
lpsolve 5.5.2.11-2
lrzip 0.651-2
lsb-release 2.0.r53.a86f885-1
lshw B.02.19.2-6
lsof 4.98.0-1
lsscsi 0.32-1
lttng-ust 2.13.5-2
lua 5.4.6-2
lua52 5.2.4-6
lua53 5.3.6-2
luajit 2.1.1694285958-1
luit 20230201-1
lutris 0.5.13-6
lvm2 2.03.22-2
lxappearance 0.6.3-4
lz4 1:1.9.4-1
lzo 2.10-5
lzop 1.04-3
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
mako 1.8.0-1
man-db 2.11.2-1
mbedtls 3.4.1-1
md4c 0.4.8-1
mdadm 4.2-2
med-openmpi 4.1.1-4
mesa 1:23.1.7-1
mesa-utils 9.0.0-2
meson 1.2.1-1
metis 5.2.1-2
minizip 1:1.3-1
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mokutil 0.6.0-2
mpc 0.34-3
mpfr 4.2.1-1
mpg123 1.31.3-1
mpv 1:0.36.0-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
mujs 1.3.3-1
multipath-tools 0.9.6-1
musl 1.2.4-1
mutter 44.5-1
mypaint-brushes1 1.3.1-1
nano 7.2-1
nasm 2.16.01-1
nawk 20230914-1
ncurses 6.4_20230520-1
ndctl 76.1-1
neatvnc 0.6.0-2
neofetch 7.1.0-2
neomutt 20230517-1
neon 0.32.5-2
nerd-fonts-complete 2.2.2-2
netcdf 4.9.2-2
netpbm 10.73.43-2
nettle 3.9.1-1
network-manager-applet 1.32.0-3
networkmanager 1.44.0-1
networkmanager-openvpn 1.10.2-3
nilfs-utils 2.2.9-2
ninja 1.11.1-3
nm-connection-editor 1.32.0-3
nodejs 20.6.1-1
notepadqq 2.0.0beta-1
notmuch-runtime 0.38-2
npth 1.6-4
nspr 4.35-1
nss 3.93-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p17-1
numactl 2.0.16-1
nvm 0.39.5-1
nwg-displays 0.3.7-1
nwg-icon-picker 0.1.0-2
nwg-look 0.2.4-1
nwg-panel 0.9.13-1
obs-studio 29.1.3-1
ocl-icd 2.3.2-1
onetbb 2021.10.0-1
onevpl 2023.3.1-1
oniguruma 6.9.8-1
openal 1.23.1-1
opencascade 1:7.6.3-3
opencore-amr 0.1.6-1
opencv 4.8.0-6
openexr 3.2.0-2
openjpeg2 2.5.0-3
openmpi 4.1.5-5
openpmix 4.2.6-1
openssh 9.4p1-4
openssl 3.1.3-1
openssl-1.1 1.1.1.w-1
openvpn 2.6.6-1
openvpn-unroot-git r15.c6f8322-1
openvpn3 20-1
opus 1.4-1
opusfile 0.12-3
orc 0.4.34-1
os-prober 1.81-1
ostree 2023.6-3
otf-helvetica-neue 1.0-1
p11-kit 0.25.0-2
p7zip 1:17.05-1
pacman 6.0.2-7
pacman-contrib 1.9.1-1
pacman-mirrorlist 20230820-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20221020-1
pamixer 1.6-2
pango 1:1.50.14-1
pango-perl 1.227-16
pangomm 2.46.3-1
papirus-folders-catppuccin-git r19.5b1e93fa-1
papirus-icon-theme 20230901-1
parted 3.6-1
patch 2.7.6-10
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.38.0-1
perl-cairo-gobject 1.005-2
perl-carp-always 0.16-4
perl-cgi 4.57-2
perl-class-method-modifiers 2.15-2
perl-clone 0.46-2
perl-data-optlist 0.114-2
perl-devel-globaldestruction 0.14-9
perl-encode-locale 1.05-11
perl-error 0.17029-5
perl-file-basedir 0.09-3
perl-file-copy-recursive 0.45-6
perl-file-listing 6.16-2
perl-file-slurp-tiny 0.004-9
perl-file-which 1.27-3
perl-glib-object-introspection 0.050-3
perl-goocanvas2 0.06-6
perl-goocanvas2-cairotypes 0.001-7
perl-gtk3 0.038-4
perl-gtk3-imageview 10-3
perl-html-form 6.11-2
perl-html-parser 3.81-2
perl-html-tagset 3.20-14
perl-http-cookies 6.10-4
perl-http-daemon 6.16-2
perl-http-date 6.06-1
perl-http-message 6.44-2
perl-http-negotiate 6.01-12
perl-http-response-encoding 0.06-7
perl-http-server-simple 0.52-5
perl-import-into 1.002005-9
perl-io-html 1.004-4
perl-ipc-system-simple 1.30-5
perl-json 4.10-1
perl-json-maybexs 1.004005-1
perl-libintl-perl 1.33-2
perl-libwww 6.67-2
perl-locale-gettext 1.07-14
perl-lwp-mediatypes 6.04-4
perl-mailtools 2.21-7
